EEG,x,y,z,xproj,yproj
A1,-8.13936605,-0.97010287,-6.180621,-1.32E+01,-1.568829403
A2,8.174280516,-0.9471644,-6.1949395,1.32E+01,-1.533927019
AF1,-1.958734939,9.224937648,3.9638795,-1.57E+00,7.411014846
AF2,1.963216833,9.213408991,3.9587235,1.58E+00,7.403646722
AF3,-3.618496306,8.76128739,3.3008277,-3.01E+00,7.277914115
AF4,3.612692461,8.746852482,3.2930515,3.00E+00,7.268822449
AF5,-4.83393583,8.150109765,2.0550899,-4.29E+00,7.232346419
AF6,4.823361056,8.135546498,2.047223,4.28E+00,7.222536438
AF7,-5.629353779,7.490238476,0.3018705,-5.53E+00,7.353176712
AF8,5.620152328,7.480556302,0.2977726,5.52E+00,7.34549635
AFZ,0.007489171,9.352111373,4.2344783,5.94E-03,7.4136659
C1,-3.679615092,0.045914202,9.0494301,-2.36E+00,0.029455191
C2,3.682561691,0.046945159,9.0396715,2.36E+00,0.030128224
C3,-6.17293365,0.083455962,6.6871968,-4.37E+00,0.059066349
C4,6.159657292,0.088246128,6.6869735,4.36E+00,0.062457221
C5,-7.576819788,0.055807916,3.6362825,-6.19E+00,0.045574893
C6,7.551860487,0.068000751,3.618455,6.17E+00,0.055581998
CP1,-3.601474022,-3.669010155,8.5627589,-2.36E+00,-2.400037215
CP2,3.603661906,-3.664043161,8.5523947,2.36E+00,-2.397791894
CP3,-5.9603881,-3.403813476,6.2709064,-4.30E+00,-2.453704771
CP4,5.952087118,-3.398063462,6.2606282,4.29E+00,-2.450680964
CP5,-7.294910921,-3.156069033,3.3643964,-6.04E+00,-2.613194407
CP6,7.278897836,-3.15627519,3.3507875,6.03E+00,-2.615184672
CPZ,-0.01179095,-3.918272062,9.4293829,-7.45E-03,-2.476404179
CZ,0,0,10,0.00E+00,0
F1,-2.654560303,6.911878805,6.5856453,-1.89E+00,4.913721929
F10,6.552311658,5.644528999,-3.5122461,8.37E+00,7.207680784
F2,2.651238994,6.902356988,6.5757619,1.89E+00,4.909082604
F3,-4.823476333,6.393765752,5.1067174,-3.67E+00,4.860966919
